Feature_Selection,Model,Accuracy,Precision,Recall,F1
PCA,Logistic Regression,0.9824561403508771,0.9767441860465116,0.9767441860465116,0.9767441860465116
Filter,SVC,0.9824561403508771,1.0,0.9534883720930233,0.9761904761904762
RandomForest,Logistic Regression,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
RandomForest,KNN,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
RandomForest,Neural Network,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
PCA,AdaBoost,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
PCA,XGBoost,0.9736842105263158,0.9545454545454546,0.9767441860465116,0.9655172413793104
Filter,Logistic Regression,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412
Filter,AdaBoost,0.9736842105263158,0.9761904761904762,0.9534883720930233,0.9647058823529412
RandomForest,Naive Bayes,0.9736842105263158,1.0,0.9302325581395349,0.963855421686747
PCA,Neural Network,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233
PCA,Gradient Boosting,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233
SelectKBest,Neural Network,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233
Filter,Neural Network,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233
PCA,SVC,0.9649122807017544,0.9534883720930233,0.9534883720930233,0.9534883720930233
Filter,Naive Bayes,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523
RandomForest,SVC,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523
Filter,Random Forest,0.9649122807017544,0.975609756097561,0.9302325581395349,0.9523809523809523
PCA,Random Forest,0.956140350877193,0.9318181818181818,0.9534883720930233,0.9425287356321839
Filter,XGBoost,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
RandomForest,AdaBoost,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
Filter,Gradient Boosting,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
RandomForest,Random Forest,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
RandomForest,Gradient Boosting,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
SelectKBest,Random Forest,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
SelectKBest,KNN,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
SelectKBest,AdaBoost,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
SelectKBest,XGBoost,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
PCA,KNN,0.956140350877193,0.9523809523809523,0.9302325581395349,0.9411764705882353
SelectKBest,Logistic Regression,0.956140350877193,0.975,0.9069767441860465,0.9397590361445783
Filter,KNN,0.9473684210526315,0.9302325581395349,0.9302325581395349,0.9302325581395349
SelectKBest,Naive Bayes,0.9473684210526315,0.9512195121951219,0.9069767441860465,0.9285714285714286
SelectKBest,Gradient Boosting,0.9473684210526315,0.9512195121951219,0.9069767441860465,0.9285714285714286
SelectKBest,SVC,0.9473684210526315,0.9512195121951219,0.9069767441860465,0.9285714285714286
PCA,Naive Bayes,0.9473684210526315,0.9512195121951219,0.9069767441860465,0.9285714285714286
RandomForest,XGBoost,0.9385964912280702,0.95,0.8837209302325582,0.9156626506024096
